x,added_link,added_link_capacity,best_throughput,allocation,extra_e1,extra_e2,extra_e3,extra_e4,extra_e5,extra_e6,extra_new_b_d
0,b->d,1,6,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_b_d(b->d)=0,0,0,0,0,0,0,0.0
1,o->d,1,7,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=1,0,0,0,0,0,0,
2,o->d,1,8,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=2,0,0,0,0,0,0,
3,o->d,1,9,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=3,0,0,0,0,0,0,
4,o->d,1,10,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=4,0,0,0,0,0,0,
5,o->d,1,11,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=5,0,0,0,0,0,0,
6,o->d,1,12,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=6,0,0,0,0,0,0,
7,o->d,1,13,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=7,0,0,0,0,0,0,
8,o->d,1,14,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=8,0,0,0,0,0,0,
9,o->d,1,15,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=9,0,0,0,0,0,0,
10,o->d,1,16,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=10,0,0,0,0,0,0,
11,o->d,1,17,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=11,0,0,0,0,0,0,
12,o->d,1,18,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=12,0,0,0,0,0,0,
13,o->d,1,19,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=13,0,0,0,0,0,0,
14,o->d,1,20,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=14,0,0,0,0,0,0,
15,o->d,1,21,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=15,0,0,0,0,0,0,
16,o->d,1,22,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=16,0,0,0,0,0,0,
17,o->d,1,23,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=17,0,0,0,0,0,0,
18,o->d,1,24,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=18,0,0,0,0,0,0,
19,o->d,1,25,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=19,0,0,0,0,0,0,
20,o->d,1,26,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0; new_o_d(o->d)=20,0,0,0,0,0,0,
