edge,tail,head,capacity,maxflow_edge_flow,positive_flow,maxflow_value
1,1,2,8741.0,8741.0,True,22448.0
2,2,3,9864.0,8741.0,True,22448.0
3,3,4,13350.0,0.0,False,22448.0
4,4,5,10926.0,0.0,False,22448.0
5,1,6,13707.0,13707.0,True,22448.0
6,6,7,6960.0,4624.0,True,22448.0
7,7,8,7422.0,4624.0,True,22448.0
8,8,9,6678.0,4624.0,True,22448.0
9,9,13,6297.0,6297.0,True,22448.0
10,2,7,11102.0,0.0,False,22448.0
11,3,8,8899.0,0.0,False,22448.0
12,3,9,8970.0,8741.0,True,22448.0
13,4,9,9753.0,0.0,False,22448.0
14,5,14,9719.0,0.0,False,22448.0
15,6,10,9083.0,9083.0,True,22448.0
16,10,11,7416.0,825.0,True,22448.0
17,10,15,13353.0,8258.0,True,22448.0
18,7,10,11216.0,0.0,False,22448.0
19,8,11,10947.0,0.0,False,22448.0
20,9,12,10019.0,7068.0,True,22448.0
21,11,12,8732.0,825.0,True,22448.0
22,12,13,10763.0,7893.0,True,22448.0
23,13,14,6677.0,3835.0,True,22448.0
24,11,15,9403.0,0.0,False,22448.0
25,13,17,10355.0,10355.0,True,22448.0
26,14,17,9067.0,3835.0,True,22448.0
27,15,16,11990.0,8258.0,True,22448.0
28,16,17,8258.0,8258.0,True,22448.0
