x,best_throughput,allocation,extra_e1,extra_e2,extra_e3,extra_e4,extra_e5,extra_e6
0,5,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=0; e6(a->b)=0,0,0,0,0,0,0
1,6,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=0,0,0,0,0,1,0
2,6,e1(o->a)=0; e2(a->d)=0; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=1,0,0,0,0,1,1
3,7,e1(o->a)=1; e2(a->d)=1; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=0,1,1,0,0,1,0
4,7,e1(o->a)=0; e2(a->d)=0; e3(o->b)=1; e4(b->c)=1; e5(c->d)=2; e6(a->b)=0,0,0,1,1,2,0
5,8,e1(o->a)=2; e2(a->d)=2; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=0,2,2,0,0,1,0
6,8,e1(o->a)=1; e2(a->d)=1; e3(o->b)=1; e4(b->c)=1; e5(c->d)=2; e6(a->b)=0,1,1,1,1,2,0
7,9,e1(o->a)=3; e2(a->d)=3; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=0,3,3,0,0,1,0
8,9,e1(o->a)=2; e2(a->d)=2; e3(o->b)=1; e4(b->c)=1; e5(c->d)=2; e6(a->b)=0,2,2,1,1,2,0
9,10,e1(o->a)=4; e2(a->d)=4; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=0,4,4,0,0,1,0
10,10,e1(o->a)=3; e2(a->d)=3; e3(o->b)=1; e4(b->c)=1; e5(c->d)=2; e6(a->b)=0,3,3,1,1,2,0
11,11,e1(o->a)=5; e2(a->d)=5; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=0,5,5,0,0,1,0
12,11,e1(o->a)=4; e2(a->d)=4; e3(o->b)=1; e4(b->c)=1; e5(c->d)=2; e6(a->b)=0,4,4,1,1,2,0
13,12,e1(o->a)=6; e2(a->d)=6; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=0,6,6,0,0,1,0
14,12,e1(o->a)=5; e2(a->d)=5; e3(o->b)=1; e4(b->c)=1; e5(c->d)=2; e6(a->b)=0,5,5,1,1,2,0
15,13,e1(o->a)=7; e2(a->d)=7; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=0,7,7,0,0,1,0
16,13,e1(o->a)=6; e2(a->d)=6; e3(o->b)=1; e4(b->c)=1; e5(c->d)=2; e6(a->b)=0,6,6,1,1,2,0
17,14,e1(o->a)=8; e2(a->d)=8; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=0,8,8,0,0,1,0
18,14,e1(o->a)=7; e2(a->d)=7; e3(o->b)=1; e4(b->c)=1; e5(c->d)=2; e6(a->b)=0,7,7,1,1,2,0
19,15,e1(o->a)=9; e2(a->d)=9; e3(o->b)=0; e4(b->c)=0; e5(c->d)=1; e6(a->b)=0,9,9,0,0,1,0
20,15,e1(o->a)=8; e2(a->d)=8; e3(o->b)=1; e4(b->c)=1; e5(c->d)=2; e6(a->b)=0,8,8,1,1,2,0
