edge,tail,head,wardrop_flow,wardrop_delay,wardrop_total_travel_time,social_flow,social_total_travel_time,total_travel_time_social,total_travel_time_wardrop,price_of_anarchy,solver_status
1,1,2,6557.510051210972,0.6489226574117399,4255.3168484360185,6569.212998217768,4285.882388036021,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
2,2,3,6308.594126712164,0.15369992048043163,969.6304156189776,5809.998583353086,783.1680444939815,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
3,3,4,2200.6411594525594,0.15446179682879785,339.91498766445136,3046.969543421312,509.3005035088957,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
4,4,5,2200.6411593412213,0.23375043448024083,514.4008271311113,3046.9695072331615,788.7348863196656,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
5,1,6,10248.48994875033,0.5145510013356709,5273.370765308041,10236.787001782233,5249.585393460886,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
6,6,7,4706.686231554989,0.24195373393392763,1138.8003081801362,4666.495569555158,1109.2904484855485,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
7,7,8,2859.927072968437,0.15292784906311366,437.3624957464296,3061.2171079120485,489.7545395157701,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
8,8,9,2232.6506461613135,0.08612816305863137,192.2940989055403,2595.954795670252,243.4839831950566,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
9,9,13,3350.006853442882,0.3027139683179136,1014.0938684979019,3104.549830928163,867.5331824306608,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
10,2,7,248.91592449880625,0.10758207822563842,26.77889246103768,759.2144148646809,85.7077355020949,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
11,3,8,11.665061135332865,0.10681000958441035,1.245945291667636,0.00010351916427899808,1.1042389382093238e-05,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
12,3,9,4096.287906124273,0.1929381715390218,790.3302987050254,2763.0289364126093,418.5850770558373,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
13,4,9,1.1133807330189222e-07,0.11233000000128233,1.2506605774144325e-08,3.6188150964958626e-05,4.065015012976892e-06,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
14,5,14,2200.6411593412213,0.23333277077877346,513.4816991988995,3046.9695072331615,801.1408445238699,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
15,6,10,5541.803717195341,0.31164171987833195,1727.0572416548891,5570.291432227074,1750.0134629688364,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
16,10,11,2343.3487514038516,0.11793171710070915,276.35514201885906,2893.8391534299117,382.81946309027904,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
17,10,15,5294.1300488768475,0.12482166297519247,660.8221167077451,5040.945155304954,610.053164204602,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
18,7,10,2095.6750830853584,0.06968798565731497,146.04337513244482,2364.492876507791,169.78096930263433,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
19,8,11,638.9414879424572,0.03469185284325865,22.16606407515245,465.2624157609605,15.87336706403389,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
20,9,12,2978.9316989540425,0.0498098860699833,148.38024853516265,2254.4339373428493,101.81522962891657,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
21,11,12,2982.290239172364,0.10124619645430677,301.9455434390067,3359.1015194944093,363.94782981069085,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
22,12,13,5961.221938126407,0.25290408560160743,1507.617383330101,5613.535456837259,1323.8303285085815,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
23,13,14,2522.439899534803,0.12589285709007678,317.5571657904426,2371.9908811284977,288.18082154003594,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
24,11,15,1.7394465307245755e-07,0.054167000001002025,9.422060023150104e-09,4.96964637131713e-05,2.6919083641785464e-06,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
25,13,17,6788.788892034485,0.2782647142743396,1889.0804013107863,6346.094406636923,1570.890402684845,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
26,14,17,4723.081058876024,0.15237185798608333,719.6646363598176,5418.96038836166,983.2023476308327,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
27,15,16,5294.130049050792,0.21129741323596565,1118.6359846992284,5040.945205001418,1026.3309623163736,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
28,16,17,5294.130049050792,0.41422764167058396,2192.9750049156823,5040.945205001418,1923.763756880344,26142.669149958605,26495.321759136485,1.0134895410700036,optimal
