time,node,count,total_count,lambda,service_mode,seed
0,o,0,0,2,fixed,20260905
0,a,0,0,2,fixed,20260905
0,b,0,0,2,fixed,20260905
0,c,0,0,2,fixed,20260905
0,d,0,0,2,fixed,20260905
2,o,1,2,2,fixed,20260905
2,a,1,2,2,fixed,20260905
2,b,0,2,2,fixed,20260905
2,c,0,2,2,fixed,20260905
2,d,0,2,2,fixed,20260905
4,o,3,8,2,fixed,20260905
4,a,2,8,2,fixed,20260905
4,b,0,8,2,fixed,20260905
4,c,3,8,2,fixed,20260905
4,d,0,8,2,fixed,20260905
6,o,5,9,2,fixed,20260905
6,a,2,9,2,fixed,20260905
6,b,0,9,2,fixed,20260905
6,c,2,9,2,fixed,20260905
6,d,0,9,2,fixed,20260905
8,o,9,13,2,fixed,20260905
8,a,3,13,2,fixed,20260905
8,b,1,13,2,fixed,20260905
8,c,0,13,2,fixed,20260905
8,d,0,13,2,fixed,20260905
10,o,8,17,2,fixed,20260905
10,a,2,17,2,fixed,20260905
10,b,4,17,2,fixed,20260905
10,c,2,17,2,fixed,20260905
10,d,1,17,2,fixed,20260905
12,o,10,20,2,fixed,20260905
12,a,0,20,2,fixed,20260905
12,b,3,20,2,fixed,20260905
12,c,5,20,2,fixed,20260905
12,d,2,20,2,fixed,20260905
14,o,13,22,2,fixed,20260905
14,a,2,22,2,fixed,20260905
14,b,0,22,2,fixed,20260905
14,c,6,22,2,fixed,20260905
14,d,1,22,2,fixed,20260905
16,o,10,23,2,fixed,20260905
16,a,5,23,2,fixed,20260905
16,b,2,23,2,fixed,20260905
16,c,2,23,2,fixed,20260905
16,d,4,23,2,fixed,20260905
18,o,12,26,2,fixed,20260905
18,a,5,26,2,fixed,20260905
18,b,1,26,2,fixed,20260905
18,c,2,26,2,fixed,20260905
18,d,6,26,2,fixed,20260905
20,o,16,30,2,fixed,20260905
20,a,6,30,2,fixed,20260905
20,b,2,30,2,fixed,20260905
20,c,1,30,2,fixed,20260905
20,d,5,30,2,fixed,20260905
22,o,13,31,2,fixed,20260905
22,a,7,31,2,fixed,20260905
22,b,3,31,2,fixed,20260905
22,c,2,31,2,fixed,20260905
22,d,6,31,2,fixed,20260905
24,o,13,33,2,fixed,20260905
24,a,6,33,2,fixed,20260905
24,b,6,33,2,fixed,20260905
