time,node,count,total_count,lambda,service_mode,seed
0,o,0,0,100,proportional,20260904
0,a,0,0,100,proportional,20260904
0,b,0,0,100,proportional,20260904
0,c,0,0,100,proportional,20260904
0,d,0,0,100,proportional,20260904
0.05,o,3,3,100,proportional,20260904
0.05,a,0,3,100,proportional,20260904
0.05,b,0,3,100,proportional,20260904
0.05,c,0,3,100,proportional,20260904
0.05,d,0,3,100,proportional,20260904
0.1,o,7,7,100,proportional,20260904
0.1,a,0,7,100,proportional,20260904
0.1,b,0,7,100,proportional,20260904
0.1,c,0,7,100,proportional,20260904
0.1,d,0,7,100,proportional,20260904
0.15,o,12,12,100,proportional,20260904
0.15,a,0,12,100,proportional,20260904
0.15,b,0,12,100,proportional,20260904
0.15,c,0,12,100,proportional,20260904
0.15,d,0,12,100,proportional,20260904
0.2,o,16,17,100,proportional,20260904
0.2,a,0,17,100,proportional,20260904
0.2,b,1,17,100,proportional,20260904
0.2,c,0,17,100,proportional,20260904
0.2,d,0,17,100,proportional,20260904
0.25,o,17,20,100,proportional,20260904
0.25,a,1,20,100,proportional,20260904
0.25,b,2,20,100,proportional,20260904
0.25,c,0,20,100,proportional,20260904
0.25,d,0,20,100,proportional,20260904
0.3,o,20,24,100,proportional,20260904
0.3,a,2,24,100,proportional,20260904
0.3,b,1,24,100,proportional,20260904
0.3,c,1,24,100,proportional,20260904
0.3,d,0,24,100,proportional,20260904
0.35,o,21,25,100,proportional,20260904
0.35,a,2,25,100,proportional,20260904
0.35,b,1,25,100,proportional,20260904
0.35,c,1,25,100,proportional,20260904
0.35,d,0,25,100,proportional,20260904
0.4,o,26,33,100,proportional,20260904
0.4,a,5,33,100,proportional,20260904
0.4,b,1,33,100,proportional,20260904
0.4,c,1,33,100,proportional,20260904
0.4,d,0,33,100,proportional,20260904
0.45,o,31,41,100,proportional,20260904
0.45,a,6,41,100,proportional,20260904
0.45,b,3,41,100,proportional,20260904
0.45,c,1,41,100,proportional,20260904
0.45,d,0,41,100,proportional,20260904
0.5,o,36,49,100,proportional,20260904
0.5,a,7,49,100,proportional,20260904
0.5,b,5,49,100,proportional,20260904
0.5,c,1,49,100,proportional,20260904
0.5,d,0,49,100,proportional,20260904
0.55,o,36,53,100,proportional,20260904
0.55,a,10,53,100,proportional,20260904
0.55,b,5,53,100,proportional,20260904
0.55,c,1,53,100,proportional,20260904
0.55,d,1,53,100,proportional,20260904
0.6,o,37,55,100,proportional,20260904
0.6,a,11,55,100,proportional,20260904
0.6,b,6,55,100,proportional,20260904
0.6,c,1,55,100,proportional,20260904
0.6,d,0,55,100,proportional,20260904
0.65,o,39,60,100,proportional,20260904
0.65,a,11,60,100,proportional,20260904
0.65,b,7,60,100,proportional,20260904
0.65,c,2,60,100,proportional,20260904
0.65,d,1,60,100,proportional,20260904
0.7,o,38,63,100,proportional,20260904
0.7,a,15,63,100,proportional,20260904
0.7,b,6,63,100,proportional,20260904
0.7,c,3,63,100,proportional,20260904
0.7,d,1,63,100,proportional,20260904
0.75,o,40,67,100,proportional,20260904
0.75,a,15,67,100,proportional,20260904
0.75,b,6,67,100,proportional,20260904
0.75,c,4,67,100,proportional,20260904
0.75,d,2,67,100,proportional,20260904
0.8,o,42,71,100,proportional,20260904
0.8,a,17,71,100,proportional,20260904
0.8,b,6,71,100,proportional,20260904
0.8,c,4,71,100,proportional,20260904
0.8,d,2,71,100,proportional,20260904
0.85,o,43,76,100,proportional,20260904
0.85,a,17,76,100,proportional,20260904
0.85,b,8,76,100,proportional,20260904
0.85,c,5,76,100,proportional,20260904
0.85,d,3,76,100,proportional,20260904
0.9,o,45,81,100,proportional,20260904
0.9,a,18,81,100,proportional,20260904
0.9,b,9,81,100,proportional,20260904
0.9,c,6,81,100,proportional,20260904
0.9,d,3,81,100,proportional,20260904
0.95,o,45,86,100,proportional,20260904
0.95,a,16,86,100,proportional,20260904
0.95,b,12,86,100,proportional,20260904
0.95,c,8,86,100,proportional,20260904
0.95,d,5,86,100,proportional,20260904
1,o,45,88,100,proportional,20260904
1,a,18,88,100,proportional,20260904
1,b,12,88,100,proportional,20260904
1,c,9,88,100,proportional,20260904
1,d,4,88,100,proportional,20260904
1.05,o,45,92,100,proportional,20260904
1.05,a,20,92,100,proportional,20260904
1.05,b,13,92,100,proportional,20260904
1.05,c,9,92,100,proportional,20260904
1.05,d,5,92,100,proportional,20260904
1.1,o,48,100,100,proportional,20260904
1.1,a,21,100,100,proportional,20260904
1.1,b,17,100,100,proportional,20260904
1.1,c,10,100,100,proportional,20260904
1.1,d,4,100,100,proportional,20260904
1.15,o,48,103,100,proportional,20260904
1.15,a,23,103,100,proportional,20260904
1.15,b,16,103,100,proportional,20260904
1.15,c,13,103,100,proportional,20260904
1.15,d,3,103,100,proportional,20260904
1.2,o,48,109,100,proportional,20260904
1.2,a,26,109,100,proportional,20260904
1.2,b,19,109,100,proportional,20260904
1.2,c,13,109,100,proportional,20260904
1.2,d,3,109,100,proportional,20260904
1.25,o,45,112,100,proportional,20260904
1.25,a,27,112,100,proportional,20260904
1.25,b,19,112,100,proportional,20260904
1.25,c,16,112,100,proportional,20260904
1.25,d,5,112,100,proportional,20260904
1.3,o,47,115,100,proportional,20260904
1.3,a,23,115,100,proportional,20260904
1.3,b,19,115,100,proportional,20260904
1.3,c,17,115,100,proportional,20260904
1.3,d,9,115,100,proportional,20260904
1.35,o,41,115,100,proportional,20260904
1.35,a,25,115,100,proportional,20260904
1.35,b,23,115,100,proportional,20260904
1.35,c,16,115,100,proportional,20260904
1.35,d,10,115,100,proportional,20260904
1.4,o,41,119,100,proportional,20260904
1.4,a,26,119,100,proportional,20260904
1.4,b,25,119,100,proportional,20260904
1.4,c,17,119,100,proportional,20260904
1.4,d,10,119,100,proportional,20260904
1.45,o,41,122,100,proportional,20260904
1.45,a,27,122,100,proportional,20260904
1.45,b,23,122,100,proportional,20260904
1.45,c,21,122,100,proportional,20260904
1.45,d,10,122,100,proportional,20260904
1.5,o,45,132,100,proportional,20260904
1.5,a,27,132,100,proportional,20260904
1.5,b,27,132,100,proportional,20260904
1.5,c,22,132,100,proportional,20260904
1.5,d,11,132,100,proportional,20260904
1.55,o,45,135,100,proportional,20260904
1.55,a,27,135,100,proportional,20260904
1.55,b,30,135,100,proportional,20260904
1.55,c,20,135,100,proportional,20260904
1.55,d,13,135,100,proportional,20260904
1.6,o,45,138,100,proportional,20260904
1.6,a,28,138,100,proportional,20260904
1.6,b,32,138,100,proportional,20260904
1.6,c,21,138,100,proportional,20260904
1.6,d,12,138,100,proportional,20260904
1.65,o,38,143,100,proportional,20260904
1.65,a,31,143,100,proportional,20260904
1.65,b,39,143,100,proportional,20260904
1.65,c,22,143,100,proportional,20260904
1.65,d,13,143,100,proportional,20260904
1.7,o,36,143,100,proportional,20260904
1.7,a,31,143,100,proportional,20260904
1.7,b,40,143,100,proportional,20260904
1.7,c,23,143,100,proportional,20260904
1.7,d,13,143,100,proportional,20260904
1.75,o,38,147,100,proportional,20260904
1.75,a,30,147,100,proportional,20260904
1.75,b,38,147,100,proportional,20260904
1.75,c,25,147,100,proportional,20260904
1.75,d,16,147,100,proportional,20260904
1.8,o,41,153,100,proportional,20260904
1.8,a,29,153,100,proportional,20260904
1.8,b,38,153,100,proportional,20260904
1.8,c,26,153,100,proportional,20260904
1.8,d,19,153,100,proportional,20260904
1.85,o,44,155,100,proportional,20260904
1.85,a,25,155,100,proportional,20260904
1.85,b,42,155,100,proportional,20260904
1.85,c,25,155,100,proportional,20260904
1.85,d,19,155,100,proportional,20260904
1.9,o,46,157,100,proportional,20260904
1.9,a,23,157,100,proportional,20260904
1.9,b,41,157,100,proportional,20260904
1.9,c,27,157,100,proportional,20260904
1.9,d,20,157,100,proportional,20260904
1.95,o,42,156,100,proportional,20260904
1.95,a,27,156,100,proportional,20260904
1.95,b,40,156,100,proportional,20260904
1.95,c,28,156,100,proportional,20260904
1.95,d,19,156,100,proportional,20260904
2,o,46,163,100,proportional,20260904
2,a,28,163,100,proportional,20260904
2,b,38,163,100,proportional,20260904
2,c,30,163,100,proportional,20260904
2,d,21,163,100,proportional,20260904
2.05,o,44,167,100,proportional,20260904
2.05,a,31,167,100,proportional,20260904
