week,S_mean,I_mean,R_mean,S_std,I_std,R_std
0,490,10,0,0,0,0
1,478.71,14.05,7.24,2.81174323152,3.08666486681,1.40085688063
2,468.13,14.87,17,5.52205577661,4.78049160652,2.60768096208
3,460.25,12.14,27.61,7.70373286141,4.2568063146,4.65595317846
4,454.38,9.46,36.16,9.30997314711,4.10954985369,6.79958822283
5,450.17,7.04,42.79,10.8545428278,3.56348144376,8.40511154001
6,447.15,5.3,47.55,12.1978481709,3.50285597763,10.0800545633
7,444.95,3.84,51.21,13.2002840879,2.72660961636,11.6801498278
8,443.27,2.78,53.95,13.9841731969,2.29599651568,12.7737034567
9,441.98,2.12,55.9,14.7627775164,2.20581050863,13.5650285661
10,441.16,1.45,57.39,15.2693942251,1.79652442232,14.3811647651
11,440.63,0.92,58.45,15.6739624856,1.507846146,15.0242304295
12,440.29,0.59,59.12,16.0045587256,1.15840407458,15.4131632055
13,440.05,0.41,59.54,16.2316819831,1.01089069637,15.7666863989
14,439.9,0.32,59.78,16.3874952326,0.810925397309,16.0272143556
15,439.77,0.22,60.01,16.5383523968,0.672011904656,16.309196792
