week,S_mean,I_mean,R_mean,V_mean,S_std,I_std,R_std,V_std
0,490,10,0,0,0,0,0,0
1,473.07,19.82,7.11,0,8.02153975244,8.20290192554,1.33337916588,0
2,397.44,57.57,19.99,25,23.2022929901,19.7763773225,5.29054817576,0
3,280.66,90.65,53.69,75,31.9096286409,18.9986183708,16.204132189,0
4,190.01,82.08,102.91,125,29.5044047559,13.629878943,24.9126855236,0
5,135.86,50.14,139,175,21.4695225844,10.4862004558,24.170643351,0
6,104.65,23.34,147.01,225,16.824015573,7.93249015127,19.4573867721,0
7,83.03,8.37,133.6,275,13.539169103,4.29570715948,14.6948970735,0
8,73.03,3.05,123.92,300,12.0037119259,2.38065117142,12.5607961531,0
9,72.63,1.29,126.08,300,11.7937737811,1.42334113971,12.0910545446,0
10,72.45,0.57,126.98,300,11.7561685936,0.951367436903,11.8236880879,0
11,72.4,0.24,127.36,300,11.7439346047,0.549909083395,11.7911152992,0
12,72.38,0.06,127.56,300,11.711344927,0.237486841741,11.7535696705,0
13,72.37,0.03,127.6,300,11.7044051536,0.170587221092,11.7303026389,0
14,72.37,0.01,127.62,300,11.7044051536,0.0994987437107,11.7232930527,0
15,72.37,0,127.63,300,11.7044051536,0,11.7044051536,0
