iteration,k,beta,rho,rmse
1,9,0.2,0.5,11.6368148563
1,9,0.2,0.6,9.48767446041
1,9,0.2,0.7,8.71443706348
1,9,0.3,0.5,36.7090240495
1,9,0.3,0.6,33.2322287346
1,9,0.3,0.7,31.4319088401
1,9,0.4,0.5,62.3916049908
1,9,0.4,0.6,59.1703555845
1,9,0.4,0.7,58.0122188853
1,10,0.2,0.5,13.3565731633
1,10,0.2,0.6,10.2485712825
1,10,0.2,0.7,9.31678556871
1,10,0.3,0.5,42.6195848564
1,10,0.3,0.6,40.2247705608
1,10,0.3,0.7,38.1229948981
1,10,0.4,0.5,67.5207154879
1,10,0.4,0.6,66.1291884622
1,10,0.4,0.7,64.7276260958
1,11,0.2,0.5,21.3370266595
1,11,0.2,0.6,19.4606675117
1,11,0.2,0.7,17.9676577958
1,11,0.3,0.5,49.8302884466
1,11,0.3,0.6,48.2743771235
1,11,0.3,0.7,46.6266300877
1,11,0.4,0.5,73.608969698
1,11,0.4,0.6,72.6619810263
1,11,0.4,0.7,71.4974620529
2,8,0.1,0.6,12.5642179754
2,8,0.1,0.7,12.7138748355
2,8,0.1,0.8,12.9019455897
2,8,0.2,0.6,5.6649754339
2,8,0.2,0.7,5.80215477215
2,8,0.2,0.8,6.61912985218
2,8,0.3,0.6,24.950911139
2,8,0.3,0.7,23.1426261834
2,8,0.3,0.8,21.0173093743
2,9,0.1,0.6,11.5125279587
2,9,0.1,0.7,12.000460269
2,9,0.1,0.8,12.3760031243
2,9,0.2,0.6,9.48767446041
2,9,0.2,0.7,8.71443706348
2,9,0.2,0.8,8.50775411022
2,9,0.3,0.6,33.2322287346
2,9,0.3,0.7,31.4319088401
2,9,0.3,0.8,29.9244136673
2,10,0.1,0.6,11.7454544399
2,10,0.1,0.7,12.1432587609
2,10,0.1,0.8,12.3514638809
2,10,0.2,0.6,10.2485712825
2,10,0.2,0.7,9.31678556871
2,10,0.2,0.8,8.52928484693
2,10,0.3,0.6,40.2247705608
2,10,0.3,0.7,38.1229948981
2,10,0.3,0.8,36.2929674547
3,7,0.1,0.5,12.5935052044
3,7,0.1,0.6,12.8048561101
3,7,0.1,0.7,12.9397830997
3,7,0.2,0.5,6.50760785543
3,7,0.2,0.6,6.57763686035
3,7,0.2,0.7,7.05541494173
3,7,0.3,0.5,21.1496272623
3,7,0.3,0.6,19.2493670892
