iteration,k,beta,rho,rmse
1,9,0.2,0.5,14.1635447541
1,9,0.2,0.6,8.48928736703
1,9,0.2,0.7,8.28898867977
1,9,0.3,0.5,36.2033608016
1,9,0.3,0.6,25.3739498962
1,9,0.3,0.7,24.1446060229
1,9,0.4,0.5,65.5268596328
1,9,0.4,0.6,53.0832553636
1,9,0.4,0.7,52.2637095252
1,10,0.2,0.5,6.45166645139
1,10,0.2,0.6,6.02018825841
1,10,0.2,0.7,7.50746295362
1,10,0.3,0.5,40.0317374092
1,10,0.3,0.6,34.3243936582
1,10,0.3,0.7,32.7354853332
1,10,0.4,0.5,62.3172314319
1,10,0.4,0.6,61.4373067986
1,10,0.4,0.7,60.2868531827
1,11,0.2,0.5,12.4563772154
1,11,0.2,0.6,10.045463321
1,11,0.2,0.7,10.1325876919
1,11,0.3,0.5,38.543404105
1,11,0.3,0.6,35.0602053616
1,11,0.3,0.7,33.3527809935
1,11,0.4,0.5,60.0120598991
1,11,0.4,0.6,59.3520457384
1,11,0.4,0.7,58.5425315476
2,9,0.1,0.5,12.6113705309
2,9,0.1,0.6,13.0391973168
2,9,0.1,0.7,13.2001767665
2,9,0.2,0.5,14.1635447541
2,9,0.2,0.6,8.48928736703
2,9,0.2,0.7,8.28898867977
2,9,0.3,0.5,36.2033608016
2,9,0.3,0.6,25.3739498962
2,9,0.3,0.7,24.1446060229
2,10,0.1,0.5,13.0648127937
2,10,0.1,0.6,13.1199085363
2,10,0.1,0.7,13.4094991206
2,10,0.2,0.5,6.45166645139
2,10,0.2,0.6,6.02018825841
2,10,0.2,0.7,7.50746295362
2,10,0.3,0.5,40.0317374092
2,10,0.3,0.6,34.3243936582
2,10,0.3,0.7,32.7354853332
2,11,0.1,0.5,9.94042252623
2,11,0.1,0.6,10.9715389379
2,11,0.1,0.7,11.3682892293
2,11,0.2,0.5,12.4563772154
2,11,0.2,0.6,10.045463321
2,11,0.2,0.7,10.1325876919
2,11,0.3,0.5,38.543404105
2,11,0.3,0.6,35.0602053616
2,11,0.3,0.7,33.3527809935
3,9,0.15,0.55,7.6297662699
3,9,0.15,0.6,8.15246384026
3,9,0.15,0.65,8.3548788142
3,9,0.2,0.55,9.07377172588
3,9,0.2,0.6,8.48928736703
3,9,0.2,0.65,8.08611979464
3,9,0.25,0.55,16.6945899421
3,9,0.25,0.6,16.2385754712
3,9,0.25,0.65,15.655584733
3,10,0.15,0.55,9.18070440289
3,10,0.15,0.6,9.49578854019
3,10,0.15,0.65,10.281082952
3,10,0.2,0.55,5.59571264452
3,10,0.2,0.6,6.02018825841
3,10,0.2,0.65,7.23864628228
3,10,0.25,0.55,21.4699169382
3,10,0.25,0.6,20.7427738422
3,10,0.25,0.65,19.4620314116
3,11,0.15,0.55,7.84746243487
3,11,0.15,0.6,8.27461983014
3,11,0.15,0.65,8.35132723983
3,11,0.2,0.55,9.96256325785
3,11,0.2,0.6,10.045463321
3,11,0.2,0.65,9.96758078305
3,11,0.25,0.55,23.7317930212
3,11,0.25,0.6,23.1995833296
3,11,0.25,0.65,22.6738763044
4,9,0.15,0.5,6.22500334672
4,9,0.15,0.55,7.6297662699
4,9,0.15,0.6,8.15246384026
4,9,0.2,0.5,14.1635447541
4,9,0.2,0.55,9.07377172588
4,9,0.2,0.6,8.48928736703
4,9,0.25,0.5,25.071750371
4,9,0.25,0.55,16.6945899421
4,9,0.25,0.6,16.2385754712
4,10,0.15,0.5,7.09873228119
4,10,0.15,0.55,9.18070440289
4,10,0.15,0.6,9.49578854019
4,10,0.2,0.5,6.45166645139
4,10,0.2,0.55,5.59571264452
4,10,0.2,0.6,6.02018825841
4,10,0.25,0.5,27.0595023359
4,10,0.25,0.55,21.4699169382
4,10,0.25,0.6,20.7427738422
4,11,0.15,0.5,6.09157888674
4,11,0.15,0.55,7.84746243487
4,11,0.15,0.6,8.27461983014
4,11,0.2,0.5,12.4563772154
4,11,0.2,0.55,9.96256325785
4,11,0.2,0.6,10.045463321
4,11,0.25,0.5,28.3687974131
4,11,0.25,0.55,23.7317930212
4,11,0.25,0.6,23.1995833296
5,9,0.175,0.525,7.64804986037
5,9,0.175,0.55,7.62294781127
5,9,0.175,0.575,7.71371073695
5,9,0.2,0.525,11.6244856517
5,9,0.2,0.55,9.07377172588
5,9,0.2,0.575,8.86047402795
5,9,0.225,0.525,15.9087606892
5,9,0.225,0.55,12.2236110322
5,9,0.225,0.575,12.0237819896
5,10,0.175,0.525,6.98569967863
5,10,0.175,0.55,6.98674936338
5,10,0.175,0.575,6.98989747183
5,10,0.2,0.525,5.65054569636
5,10,0.2,0.55,5.59571264452
5,10,0.2,0.575,5.64694607731
5,10,0.225,0.525,8.40983551167
5,10,0.225,0.55,7.96651324817
5,10,0.225,0.575,7.6797569406
5,11,0.175,0.525,6.03058869432
5,11,0.175,0.55,7.35857776113
5,11,0.175,0.575,7.29017603811
5,11,0.2,0.525,9.71112763792
5,11,0.2,0.55,9.96256325785
5,11,0.2,0.575,9.97951234614
5,11,0.225,0.525,17.6234502865
5,11,0.225,0.55,17.3370893366
5,11,0.225,0.575,17.0481475044
